player_name,shots,avg_shot_dist,avg_def_dist,avg_touch_time,avg_dribbles,three_rate,makes_above_expected,cluster,archetype
blake griffin,893,11.82474804031355,4.617357222844345,2.4026875699888017,1.16013437849944,0.023516237402015677,2.4908447265625,0,Mid-Range Scorers
quincy acy,235,13.12936170212766,4.682553191489362,1.6097872340425532,0.3617021276595745,0.14468085106382977,2.488349914550781,0,Mid-Range Scorers
jakarr sampson,210,12.042380952380952,4.203333333333333,2.5,1.6857142857142857,0.3333333333333333,2.231170654296875,0,Mid-Range Scorers
henry sims,423,11.299999999999999,4.18628841607565,1.3364066193853428,0.20803782505910165,0.0425531914893617,2.029403686523437,0,Mid-Range Scorers
avery bradley,755,17.509933774834437,4.406490066225166,1.8602649006622516,1.4410596026490066,0.33112582781456956,1.847808837890625,0,Mid-Range Scorers
marcus thornton,316,16.385759493670886,3.860443037974684,2.2854430379746837,1.8354430379746836,0.40822784810126583,1.077972412109375,0,Mid-Range Scorers
trevor booker,327,10.67920489296636,4.222018348623853,1.3214067278287462,0.6605504587155964,0.1743119266055046,0.7085113525390625,0,Mid-Range Scorers
otto porter,284,15.172887323943664,4.6633802816901415,1.4316901408450704,0.6408450704225352,0.24647887323943662,0.5269775390625,0,Mid-Range Scorers
chris paul,885,16.616497175141244,4.606553672316385,5.994802259887005,5.9785310734463275,0.28926553672316385,50.99334716796875,1,On-Ball Creators
stephen curry,968,17.470454545454547,4.515185950413223,3.91198347107438,3.700413223140496,0.47107438016528924,38.516998291015625,1,On-Ball Creators
joe johnson,767,15.357496740547589,4.055932203389831,3.837027379400261,3.239895697522816,0.32073011734028684,33.600067138671875,1,On-Ball Creators
mo williams,559,19.56869409660107,4.204114490161001,4.950268336314847,5.277280858676208,0.40429338103756707,29.276840209960938,1,On-Ball Creators
kyrie irving,942,14.226539278131634,3.6491507430997876,5.219639065817409,5.088110403397027,0.31528662420382164,28.498077392578125,1,On-Ball Creators
lebron james,978,14.01002044989775,4.192842535787322,5.718507157464212,4.6656441717791415,0.25766871165644173,26.794830322265625,1,On-Ball Creators
