player_name,shots,fgm,points,expected_makes,fg_pct,efg_pct,expected_fg_pct,shot_quality_adjusted,fg_rank,efg_rank,adjusted_rank,rank_shift_vs_fg,rank_shift_vs_efg
ty lawson,733,324,708,317.5098,0.44201909959072305,0.4829467939972715,0.4331647969202976,0.008854302670425473,141.0,166.0,98.0,43.0,68.0
james harden,1054,474,1103,455.60648,0.4497153700189753,0.5232447817836812,0.4322642085674365,0.0174511614515388,119.0,70.0,76.0,43.0,-6.0
marcus smart,299,108,275,116.915924,0.3612040133779264,0.459866220735786,0.3910231574323265,-0.029819144054400115,256.0,216.0,214.0,42.0,2.0
chris copeland,305,111,273,119.8119,0.3639344262295082,0.44754098360655736,0.3928258927142034,-0.02889146648469515,255.0,234.0,213.0,42.0,21.0
terrence ross,564,230,565,236.84103,0.4078014184397163,0.500886524822695,0.4199309112332391,-0.012129492793522823,208.0,107.0,169.0,39.0,-62.0
jonas jerebko,232,108,254,101.44979,0.46551724137931033,0.5474137931034483,0.43728358170081827,0.028233659678492062,89.0,36.0,50.0,39.0,-14.0
kyle singler,383,151,385,158.477,0.39425587467362927,0.5026109660574413,0.41377808095269664,-0.019522206279067367,229.0,102.0,190.0,39.0,-88.0
matthew dellavedova,210,73,190,80.42926,0.3476190476190476,0.4523809523809524,0.38299647739955356,-0.03537742978050595,259.0,230.0,221.0,38.0,9.0
isaiah thomas,618,259,614,262.20007,0.4190938511326861,0.4967637540453074,0.42427196317506066,-0.005178112042374561,186.0,121.0,148.0,38.0,-27.0
courtney lee,476,225,525,209.83867,0.4726890756302521,0.5514705882352942,0.44083753954462646,0.03185153608562563,76.0,27.0,38.0,38.0,-11.0
wilson chandler,733,304,714,308.93576,0.4147339699863574,0.4870395634379263,0.4214676132306233,-0.006733643244265897,194.0,158.0,156.0,38.0,2.0
kentavious caldwell-pope,683,272,659,284.36935,0.39824304538799415,0.48243045387994143,0.41635337371602765,-0.018110328328033498,223.0,167.0,186.0,37.0,-19.0
mario chalmers,518,210,473,217.07664,0.40540540540540543,0.45656370656370654,0.4190668820414304,-0.01366147663602496,214.0,223.0,177.0,37.0,46.0
jared dudley,359,173,413,158.76358,0.4818941504178273,0.575208913649025,0.44223838529879006,0.039655765119037234,63.0,14.0,27.0,36.0,-13.0
darrell arthur,349,146,318,147.9887,0.4183381088825215,0.45558739255014324,0.4240363703074633,-0.005698261424941786,187.0,226.0,151.0,36.0,75.0
jakarr sampson,210,94,209,91.76883,0.44761904761904764,0.4976190476190476,0.43699442545572914,0.010624622163318498,128.0,116.0,92.0,36.0,24.0
michael carter-williams,657,253,539,268.91248,0.3850837138508371,0.4101978691019787,0.409303615808124,-0.024219901957286905,238.0,261.0,202.0,36.0,59.0
ronnie price,223,77,185,85.54694,0.3452914798206278,0.4147982062780269,0.3836185814553847,-0.03832710163475689,261.0,257.0,226.0,35.0,31.0
deron williams,515,201,459,212.88828,0.39029126213592236,0.44563106796116503,0.4133752915465716,-0.023084029410649243,233.0,238.0,198.0,35.0,40.0
damian lillard,986,426,995,425.6056,0.43204868154158216,0.5045638945233266,0.4316486722315543,0.0004000093100278712,163.0,98.0,128.0,35.0,-30.0
stephen curry,968,470,1130,431.483,0.4855371900826446,0.5836776859504132,0.445746902591926,0.03979028749071861,60.0,11.0,26.0,34.0,-15.0
andrew wiggins,797,348,730,346.0391,0.4366373902132999,0.45796737766624845,0.4341770301349788,0.0024603600783210666,154.0,221.0,120.0,34.0,101.0
dj augustin,526,214,489,221.6974,0.4068441064638783,0.46482889733840305,0.4214779523842235,-0.014633845920345168,211.0,209.0,178.0,33.0,31.0
al jefferson,800,382,766,356.881,0.4775,0.47875,0.4461012649536133,0.03139873504638668,71.0,182.0,39.0,32.0,143.0
oj mayo,571,236,549,241.22746,0.4133099824868651,0.4807355516637478,0.4224649085263655,-0.009154926039500355,196.0,176.0,164.0,32.0,12.0
khris middleton,562,265,600,249.06071,0.47153024911032027,0.5338078291814946,0.4431685315332379,0.02836171757708239,79.0,54.0,47.0,32.0,7.0
